Feature;Importancia
Ratio_F/C;0.1578
Promig_Llibertat_Total;0.1322
Promig_Pistes/Fila;0.1245
Total_Pistes;0.116
Desviacio_Est._Mida_Pistes;0.1107
Promig_Pistes/Columna;0.1027
%_Caselles_Pintades;0.1016
Mitjana_Mida_Pistes;0.0846
Relatiu_Llibertat_Total;0.07
