Feature;Importancia
Promig_Pistes/Columna;0.2153
Total_Pistes;0.1912
Promig_Pistes/Fila;0.1813
Desviacio_Est._Mida_Pistes;0.1422
Promig_Llibertat_Total;0.1409
Ratio_F/C;0.0577
%_Caselles_Pintades;0.0459
Mitjana_Mida_Pistes;0.0255
Relatiu_Llibertat_Total;0.0
