Feature;Importancia
Promig_Llibertat_Total;0.1528
Total_Pistes;0.1361
Promig_Pistes/Fila;0.1332
Promig_Pistes/Columna;0.1169
%_Caselles_Pintades;0.1118
Desviacio_Est._Mida_Pistes;0.1022
Mitjana_Mida_Pistes;0.1007
Ratio_F/C;0.0863
Relatiu_Llibertat_Total;0.0601
