Feature;Importancia
Total_Pistes;0.146
Promig_Pistes/Fila;0.1385
Promig_Llibertat_Total;0.1238
Promig_Pistes/Columna;0.1221
%_Caselles_Pintades;0.12
Ratio_F/C;0.1058
Desviacio_Est._Mida_Pistes;0.0834
Mitjana_Mida_Pistes;0.0813
Relatiu_Llibertat_Total;0.0793
