Feature;Importancia
%_Caselles_Pintades;0.1918
Promig_Pistes/Columna;0.1552
Promig_Llibertat_Total;0.1401
Ratio_F/C;0.136
Total_Pistes;0.1266
Mitjana_Mida_Pistes;0.1164
Desviacio_Est._Mida_Pistes;0.0801
Promig_Pistes/Fila;0.0538
Relatiu_Llibertat_Total;0.0
