Feature;Importancia
Promig_Pistes/Fila;0.137
Total_Pistes;0.1308
Promig_Llibertat_Total;0.1299
Mitjana_Mida_Pistes;0.1206
Desviacio_Est._Mida_Pistes;0.1114
%_Caselles_Pintades;0.11
Promig_Pistes/Columna;0.099
Ratio_F/C;0.0823
Relatiu_Llibertat_Total;0.0792
