File;Empitjora_Restarts
NNGR_40x30_01;0
NNGR_45x30_08;0
NNGR_45x35_01;0
NNGR_40x40_01;0
NNGR_45x29_01;1
NNGR_45x28_04;1
NNGR_66x50_01;1
NNGR_45x32_02;1
NNGR_43x39_01;0
NNGR_45x28_01;1
NNGR_45x30_09;0
NNGR_50x40_01;0
NNGR_45x30_03;0
NNGR_45x33_02;0
NNGR_30x45_01;1
NNGR_40x45_05;0
NNGR_45x38_01;0
NNGR_45x33_01;1
NNGR_45x30_02;0
NNGR_45x40_02;0
NNGR_41x45_01;0
NNGR_65x45_03;0
NNGR_35x45_01;1
NNGR_65x45_01;0
NNGR_50x75_01;1
NNGR_45x45_17;0
NNGR_53x45_01;1
NNGR_45x45_13;0
NNGR_40x45_03;0
NNGR_79x51_01;1
NNGR_50x50_01;0
NNGR_45x40_01;0
NNGR_30x45_02;0
NNGR_65x45_02;0
NNGR_45x45_30;0
NNGR_40x45_04;0
NNGR_45x45_04;1
NNGR_45x45_16;1
NNGR_50x70_01;1
NNGR_35x45_02;1
NNGR_45x45_25;0
NNGR_45x40_07;0
NNGR_45x30_06;1
NNGR_40x40_02;0
NNGR_40x45_06;0
NNGR_45x45_20;0
NNGR_45x45_27;0
NNGR_45x45_06;1
NNGR_40x45_08;0
NNGR_56x55_01;0
NNGR_80x48_01;0
NNGR_45x45_28;1
NNGR_45x45_22;0
NNGR_65x60_01;1
NNGR_45x40_05;0
NNGR_45x45_09;0
NNGR_68x49_01;1
NNGR_35x45_04;1
NNGR_45x40_04;1
NNGR_35x45_06;0
NNGR_35x45_05;0
NNGR_61x66_01;0
NNGR_45x45_11;1
NNGR_45x45_05;0
NNGR_45x33_04;1
NNGR_45x45_08;1
NNGR_45x45_07;0
NNGR_45x35_03;0
NNGR_45x45_14;0
NNGR_45x45_03;1
NNGR_45x45_23;1
NNGR_45x45_01;0
NNGR_75x55_02;1
NNGR_45x45_18;0
NNGR_45x39_01;0
NNGR_78x49_01;0
NNGR_70x45_01;0
NNGR_65x65_01;1
NNGR_40x45_07;1
NNGR_45x45_10;1
NNGR_40x45_02;0
NNGR_45x45_29;0
NNGR_66x56_01;0
