Nom Nonograma;% Caselles Pintades;Ratio F/C;Total Pistes;Mitjana Mida Pistes;Desviacio Est. Mida Pistes;Promig Pistes/Fila;Promig Pistes/Columna;Promig Llibertat Total;Relatiu Llibertat Total
RNDNNGR_48x18_01;46.64;2.67;444;0.91;1.23;4.83;11.78;24.91;0.75
RNDNNGR_48x63_01;36.14;0.76;1420;0.77;0.90;14.71;11.33;47.46;0.85
RNDNNGR_48x67_01;22.17;0.72;1108;0.64;0.64;11.62;8.21;53.67;0.93
RNDNNGR_48x76_01;26.32;0.63;1416;0.68;0.67;14.85;9.25;56.74;0.91
RNDNNGR_49x29_01;38.99;1.69;698;0.79;0.96;7.14;12.00;32.37;0.83
RNDNNGR_49x30_01;31.09;1.63;646;0.71;0.77;6.80;10.43;34.83;0.88
RNDNNGR_49x32_01;34.95;1.53;723;0.76;0.89;7.29;11.44;34.71;0.86
RNDNNGR_49x37_01;41.09;1.32;879;0.85;1.10;8.98;11.86;34.75;0.81
RNDNNGR_49x54_01;29.59;0.91;1117;0.70;0.80;11.20;10.52;46.12;0.90
RNDNNGR_50x52_01;10.35;0.96;480;0.56;0.37;4.78;4.63;48.43;0.95
RNDNNGR_51x29_01;34.62;1.76;685;0.75;0.88;6.51;12.17;34.49;0.86
RNDNNGR_51x38_01;36.74;1.34;928;0.77;0.90;9.14;12.16;37.80;0.85
RNDNNGR_51x43_01;27.13;1.19;873;0.68;0.69;8.76;9.91;42.58;0.91
RNDNNGR_51x45_01;34.47;1.13;1049;0.75;0.85;10.41;11.51;41.42;0.86
RNDNNGR_51x79_01;45.52;0.65;2001;0.92;1.21;19.49;12.75;50.53;0.78
RNDNNGR_52x12_01;10.58;4.33;130;0.51;0.55;1.44;4.58;28.67;0.78
RNDNNGR_52x18_01;33.33;2.89;420;0.74;0.83;4.10;11.50;30.13;0.85
RNDNNGR_52x34_01;22.79;1.53;619;0.65;0.61;5.92;9.15;39.73;0.92
RNDNNGR_52x48_01;23.56;1.08;907;0.65;0.61;8.60;9.58;46.31;0.93
RNDNNGR_52x56_01;30.80;0.93;1273;0.70;0.74;12.15;11.45;48.17;0.89
RNDNNGR_52x57_01;48.99;0.91;1485;0.98;1.40;14.17;13.12;40.45;0.74
RNDNNGR_52x61_01;49.56;0.85;1604;0.98;1.31;15.67;12.93;41.80;0.74
RNDNNGR_53x15_01;18.87;3.53;252;0.60;0.46;2.40;8.33;31.67;0.91
RNDNNGR_53x21_01;30.37;2.52;486;0.70;0.73;4.60;11.52;32.83;0.88
RNDNNGR_53x54_01;28.13;0.98;1162;0.69;0.72;10.91;10.81;48.31;0.90
RNDNNGR_53x74_01;34.06;0.72;1816;0.74;0.84;17.19;12.23;55.58;0.87
RNDNNGR_53x78_01;30.75;0.68;1772;0.72;0.79;16.53;11.49;58.37;0.89
RNDNNGR_54x13_01;27.35;4.15;278;0.69;0.72;2.59;10.62;29.70;0.86
RNDNNGR_54x18_01;12.14;3.00;213;0.55;0.38;2.00;5.83;34.05;0.92
RNDNNGR_54x25_01;11.56;2.16;274;0.57;0.41;2.52;5.52;37.95;0.96
RNDNNGR_54x34_01;15.69;1.59;496;0.58;0.44;4.48;7.47;42.07;0.95
RNDNNGR_54x46_01;27.78;1.17;1009;0.68;0.70;9.70;10.54;45.23;0.91
RNDNNGR_54x77_01;25.85;0.70;1623;0.66;0.65;15.02;10.55;60.35;0.92
RNDNNGR_55x18_01;11.72;3.06;210;0.55;0.48;1.98;5.61;33.87;0.89
RNDNNGR_55x22_01;22.64;2.50;426;0.64;0.64;3.93;9.55;35.32;0.91
RNDNNGR_55x26_01;40.56;2.12;708;0.82;1.05;6.47;13.54;33.08;0.81
RNDNNGR_55x30_01;10.73;1.83;314;0.56;0.39;2.85;5.23;40.44;0.94
RNDNNGR_55x41_01;14.77;1.34;574;0.58;0.45;5.25;6.95;45.64;0.95
RNDNNGR_55x54_01;10.17;1.02;538;0.56;0.38;4.87;5.00;51.89;0.95
RNDNNGR_55x69_01;18.66;0.80;1136;0.62;0.57;10.16;8.36;58.70;0.95
