Nom Nonograma;% Caselles Pintades;Ratio F/C;Total Pistes;Mitjana Mida Pistes;Desviacio Est. Mida Pistes;Promig Pistes/Fila;Promig Pistes/Columna;Promig Llibertat Total;Relatiu Llibertat Total
RNDNNGR_21x40_01;35.60;0.53;398;0.75;0.80;9.33;5.05;25.84;0.84
RNDNNGR_21x42_01;13.49;0.50;210;0.57;0.39;4.90;2.55;29.23;0.91
RNDNNGR_21x46_01;27.64;0.46;391;0.68;0.71;9.29;4.26;30.01;0.89
RNDNNGR_21x52_01;14.38;0.40;274;0.57;0.43;6.38;2.69;34.39;0.93
RNDNNGR_22x18_01;31.82;1.22;182;0.69;0.64;4.05;5.17;17.24;0.86
RNDNNGR_22x40_01;47.27;0.55;433;0.96;1.30;9.68;5.50;22.94;0.74
RNDNNGR_22x57_01;39.31;0.39;627;0.79;0.90;14.23;5.51;32.84;0.83
RNDNNGR_22x63_01;40.40;0.35;699;0.80;0.95;15.86;5.56;35.04;0.82
RNDNNGR_23x30_01;26.09;0.77;275;0.65;0.68;5.91;4.63;23.86;0.90
RNDNNGR_24x12_01;36.46;2.00;133;0.79;0.89;2.67;5.75;14.65;0.80
RNDNNGR_24x25_01;13.17;0.96;142;0.56;0.40;3.04;2.76;22.13;0.90
RNDNNGR_24x77_01;15.75;0.31;485;0.60;0.48;10.08;3.16;48.01;0.94
RNDNNGR_25x19_01;23.58;1.32;186;0.60;0.47;3.84;4.74;20.10;0.91
RNDNNGR_25x38_01;18.63;0.66;282;0.63;0.55;5.60;3.74;29.30;0.93
RNDNNGR_25x40_01;37.80;0.62;475;0.80;0.99;9.24;6.10;26.88;0.83
RNDNNGR_25x66_01;31.52;0.38;698;0.74;0.84;13.80;5.35;39.73;0.87
RNDNNGR_25x72_01;48.28;0.35;906;0.96;1.31;17.40;6.54;36.06;0.74
RNDNNGR_25x73_01;24.44;0.34;667;0.67;0.67;13.12;4.64;44.91;0.91
RNDNNGR_25x76_01;49.63;0.33;965;0.98;1.36;17.96;6.79;36.81;0.73
RNDNNGR_26x33_01;48.14;0.79;459;0.90;1.20;9.04;6.79;22.21;0.75
RNDNNGR_26x67_01;21.41;0.39;589;0.63;0.62;11.46;4.34;43.06;0.91
RNDNNGR_27x73_01;26.89;0.37;804;0.66;0.64;14.93;5.49;45.76;0.91
RNDNNGR_28x18_01;17.06;1.56;147;0.59;0.47;2.79;3.83;20.74;0.89
RNDNNGR_28x33_01;34.42;0.85;435;0.73;0.83;7.82;6.55;26.19;0.86
RNDNNGR_28x46_01;16.23;0.61;351;0.60;0.48;6.04;3.96;34.69;0.93
RNDNNGR_28x56_01;30.80;0.50;681;0.71;0.78;12.21;6.05;37.20;0.88
RNDNNGR_28x65_01;11.37;0.43;370;0.56;0.40;6.50;2.89;44.26;0.94
RNDNNGR_28x75_01;40.57;0.37;1016;0.84;1.03;17.79;6.91;41.95;0.81
RNDNNGR_28x79_01;34.76;0.35;998;0.77;0.94;17.46;6.44;45.85;0.85
RNDNNGR_29x16_01;14.22;1.81;110;0.60;0.48;1.90;3.44;19.78;0.88
RNDNNGR_29x34_01;13.79;0.85;247;0.55;0.31;4.28;3.62;30.10;0.96
RNDNNGR_29x38_01;37.21;0.76;527;0.78;0.89;9.24;6.82;28.06;0.84
RNDNNGR_29x40_01;18.10;0.72;358;0.59;0.45;5.93;4.65;32.54;0.94
RNDNNGR_29x62_01;39.04;0.47;865;0.81;1.01;15.03;6.92;37.71;0.82
RNDNNGR_29x68_01;34.28;0.43;896;0.75;0.87;15.17;6.71;41.81;0.86
RNDNNGR_30x27_01;28.77;1.11;333;0.70;0.79;5.50;6.22;25.16;0.88
RNDNNGR_30x55_01;17.39;0.55;482;0.60;0.49;8.17;4.31;40.35;0.95
RNDNNGR_31x11_01;35.19;2.82;165;0.73;0.86;2.68;7.45;17.68;0.83
RNDNNGR_31x22_01;24.63;1.41;262;0.64;0.59;4.13;6.09;24.08;0.91
RNDNNGR_31x45_01;46.38;0.69;682;0.95;1.33;10.77;7.73;28.63;0.75
RNDNNGR_31x46_01;22.16;0.67;500;0.63;0.55;8.10;5.41;35.72;0.93
RNDNNGR_31x48_01;19.29;0.65;463;0.62;0.54;7.42;4.85;37.02;0.94
RNDNNGR_31x48_02;31.92;0.65;655;0.73;0.81;10.48;6.88;34.57;0.87
RNDNNGR_32x11_01;16.48;2.91;103;0.56;0.46;1.66;4.55;19.37;0.86
RNDNNGR_32x11_02;45.17;2.91;192;0.83;1.06;3.03;8.64;16.62;0.76
