Nom Nonograma;% Caselles Pintades;Ratio F/C;Total Pistes;Mitjana Mida Pistes;Desviacio Est. Mida Pistes;Promig Pistes/Fila;Promig Pistes/Columna;Promig Llibertat Total;Relatiu Llibertat Total
NNGR_45x30_06;48.59;1.50;350;1.87;3.25;3.69;6.13;23.19;0.62
NNGR_45x30_07;47.33;1.50;218;2.93;5.47;2.87;2.97;21.67;0.58
NNGR_45x30_08;36.59;1.50;315;1.57;3.52;4.04;4.43;27.02;0.72
NNGR_45x30_09;52.07;1.50;397;1.77;3.16;4.93;5.83;22.36;0.60
NNGR_45x32_01;52.43;1.41;287;2.63;5.58;3.29;4.34;21.13;0.55
NNGR_45x32_02;53.54;1.41;454;1.70;2.98;5.58;6.34;22.85;0.60
NNGR_45x33_01;50.77;1.36;366;2.06;3.55;4.04;5.58;23.01;0.59
NNGR_45x33_02;52.32;1.36;375;2.07;3.70;4.16;5.70;22.52;0.58
NNGR_45x33_03;50.24;1.36;258;2.89;4.78;2.89;3.88;21.79;0.56
NNGR_45x33_04;44.51;1.36;492;1.34;2.11;5.36;7.61;27.12;0.69
NNGR_45x33_05;53.33;1.36;321;2.47;4.10;3.78;4.58;21.38;0.55
NNGR_45x35_01;49.33;1.29;445;1.75;4.17;5.58;5.54;24.83;0.62
NNGR_45x35_02;41.33;1.29;455;1.43;2.42;4.91;6.69;28.27;0.71
NNGR_45x35_03;48.00;1.29;441;1.71;3.03;4.71;6.54;25.43;0.63
NNGR_45x38_01;46.96;1.18;343;2.34;4.31;3.69;4.66;25.19;0.61
NNGR_45x39_01;50.60;1.15;509;1.74;3.63;5.27;6.97;25.87;0.62
NNGR_45x40_01;43.61;1.12;473;1.66;3.34;5.53;5.60;28.53;0.67
NNGR_45x40_02;44.28;1.12;431;1.85;3.24;4.51;5.70;27.79;0.65
NNGR_45x40_03;36.72;1.12;390;1.69;2.98;4.20;5.03;30.51;0.72
NNGR_45x40_04;39.83;1.12;410;1.75;2.48;4.80;4.85;29.40;0.69
NNGR_45x40_05;45.33;1.12;472;1.73;3.02;5.18;5.97;27.81;0.65
NNGR_45x40_06;44.94;1.12;584;1.39;2.23;6.36;7.45;29.30;0.69
NNGR_45x40_07;50.06;1.12;407;2.21;3.67;4.09;5.58;25.06;0.59
NNGR_45x45_01;49.14;1.00;595;1.67;2.76;6.73;6.49;28.50;0.63
NNGR_45x45_02;37.19;1.00;549;1.37;2.41;5.93;6.27;33.37;0.74
NNGR_45x45_03;42.17;1.00;580;1.47;3.80;5.62;7.27;31.47;0.70
NNGR_45x45_04;57.68;1.00;563;2.07;4.01;6.11;6.40;24.30;0.54
NNGR_45x45_05;55.21;1.00;719;1.55;2.74;8.29;7.69;27.14;0.60
NNGR_45x45_06;55.46;1.00;673;1.67;2.91;7.76;7.20;26.52;0.59
NNGR_45x45_07;48.15;1.00;551;1.77;3.98;7.29;4.96;28.46;0.63
NNGR_45x45_08;40.64;1.00;515;1.60;2.61;6.00;5.44;31.43;0.70
NNGR_45x45_09;42.42;1.00;579;1.48;2.97;5.56;7.31;31.34;0.70
NNGR_45x45_10;55.46;1.00;703;1.60;2.70;7.76;7.87;26.86;0.60
NNGR_45x45_11;50.57;1.00;606;1.69;2.70;6.82;6.64;27.98;0.62
NNGR_45x45_12;46.27;1.00;575;1.63;3.23;6.78;6.00;29.57;0.66
NNGR_45x45_13;45.38;1.00;449;2.05;3.59;4.16;5.82;28.57;0.63
NNGR_45x45_14;47.56;1.00;614;1.57;2.87;7.38;6.27;29.42;0.65
