Feature;Importancia
Promig_Pistes/Fila;0.2163
Total_Pistes;0.162
Promig_Pistes/Columna;0.1502
Mitjana_Mida_Pistes;0.1425
Promig_Llibertat_Total;0.0884
Ratio_F/C;0.0819
Desviacio_Est._Mida_Pistes;0.0668
%_Caselles_Pintades;0.0495
Relatiu_Llibertat_Total;0.0423
