Feature;Importancia
Promig_Pistes/Columna;0.2769
Desviacio_Est._Mida_Pistes;0.1891
Mitjana_Mida_Pistes;0.1559
%_Caselles_Pintades;0.1532
Promig_Pistes/Fila;0.1328
Promig_Llibertat_Total;0.0795
Relatiu_Llibertat_Total;0.0127
Ratio_F/C;0.0
Total_Pistes;0.0
