Feature;Importancia
Total_Pistes;0.2071
Promig_Llibertat_Total;0.1738
Promig_Pistes/Fila;0.1547
Promig_Pistes/Columna;0.1186
Desviacio_Est._Mida_Pistes;0.0853
%_Caselles_Pintades;0.072
Ratio_F/C;0.0687
Mitjana_Mida_Pistes;0.0673
Relatiu_Llibertat_Total;0.0524
