Feature;Importancia
Total_Pistes;0.1725
Promig_Pistes/Columna;0.1383
Ratio_F/C;0.13
Promig_Llibertat_Total;0.1234
Promig_Pistes/Fila;0.1227
Desviacio_Est._Mida_Pistes;0.1099
%_Caselles_Pintades;0.0973
Mitjana_Mida_Pistes;0.0651
Relatiu_Llibertat_Total;0.0406
