Feature;Importancia
%_Caselles_Pintades;0.2026
Ratio_F/C;0.1691
Desviacio_Est._Mida_Pistes;0.1623
Promig_Llibertat_Total;0.1311
Promig_Pistes/Fila;0.1242
Total_Pistes;0.097
Mitjana_Mida_Pistes;0.0591
Promig_Pistes/Columna;0.0546
Relatiu_Llibertat_Total;0.0
