Feature;Importancia
Total_Pistes;0.159
Promig_Pistes/Fila;0.1472
%_Caselles_Pintades;0.1192
Promig_Pistes/Columna;0.115
Promig_Llibertat_Total;0.1129
Ratio_F/C;0.1105
Desviacio_Est._Mida_Pistes;0.0908
Mitjana_Mida_Pistes;0.0728
Relatiu_Llibertat_Total;0.0726
