Feature;Importancia
Total_Pistes;0.2288
Promig_Pistes/Columna;0.1571
Promig_Pistes/Fila;0.1329
Promig_Llibertat_Total;0.129
Mitjana_Mida_Pistes;0.0833
%_Caselles_Pintades;0.0792
Desviacio_Est._Mida_Pistes;0.0709
Ratio_F/C;0.0643
Relatiu_Llibertat_Total;0.0544
