Feature;Importancia
Promig_Pistes/Columna;0.1397
Total_Pistes;0.1205
Promig_Llibertat_Total;0.1204
Promig_Pistes/Fila;0.1144
Desviacio_Est._Mida_Pistes;0.1101
%_Caselles_Pintades;0.1095
Mitjana_Mida_Pistes;0.104
Ratio_F/C;0.1
Relatiu_Llibertat_Total;0.0814
