Feature;Importancia
Total_Pistes;0.185
Promig_Pistes/Fila;0.1341
%_Caselles_Pintades;0.1224
Promig_Pistes/Columna;0.122
Promig_Llibertat_Total;0.0998
Desviacio_Est._Mida_Pistes;0.095
Mitjana_Mida_Pistes;0.0887
Relatiu_Llibertat_Total;0.0825
Ratio_F/C;0.0705
