Feature;Importancia
Total_Pistes;0.1581
Ratio_F/C;0.1484
Promig_Pistes/Columna;0.1289
Promig_Pistes/Fila;0.1269
Promig_Llibertat_Total;0.1233
%_Caselles_Pintades;0.0956
Desviacio_Est._Mida_Pistes;0.0895
Relatiu_Llibertat_Total;0.0658
Mitjana_Mida_Pistes;0.0634
