Feature;Importancia
%_Caselles_Pintades;0.2459
Total_Pistes;0.2443
Mitjana_Mida_Pistes;0.1557
Desviacio_Est._Mida_Pistes;0.1063
Promig_Llibertat_Total;0.0983
Ratio_F/C;0.0814
Promig_Pistes/Columna;0.0681
Promig_Pistes/Fila;0.0
Relatiu_Llibertat_Total;0.0
