Feature;Importancia
Promig_Llibertat_Total;0.1802
Total_Pistes;0.1735
Desviacio_Est._Mida_Pistes;0.1226
Ratio_F/C;0.1193
Promig_Pistes/Columna;0.0878
Promig_Pistes/Fila;0.0855
%_Caselles_Pintades;0.0816
Mitjana_Mida_Pistes;0.0805
Relatiu_Llibertat_Total;0.0689
